id,nome,latitude,longitude,tipo
2814,"Associação Programa Ouro do Lixo ",-19.9948504,-50.3540523,cooperativa
2815,ASCANOVI,-17.8721,-41.5132603,cooperativa
2816,"Cootraser - Cooperativa de Seropédica",-22.7474749,-43.6972323,cooperativa
2817,"Associação Cata Norte",-21.7425417,-43.4039944,cooperativa
2818,"Acomar - Associação dos Cat. de Mat. Recicláveis de Batatais",-20.891631,-47.5856464,cooperativa
2819,type,-20.1856447,-40.22459507,comercio
2820,"Terezinha Vilote ME",-27.133517,-48.6204843,comercio
2821,"Regpel Recicláveis",-17.74590729,-49.11317825,comercio
2822,"PEV - NACIONAL XANGRI-LÁ",-29.8548284,-50.0675039,pev
2823,"Reciclagem Me chama que eu vou",-22.8108485,-43.0157167,comercio
2824,"Casa do Cidadão Éden",-23.4240731,-47.4152416,pev
2825,type,-29.7647212,-57.073469,comercio
2826,type,-23.5205867,-47.4471375,comercio
2827,"Recicle LTDA",-27.2316193,-52.030601,comercio
2828,type,-21.6136465,-48.370699,pev
2829,"ASCAS - Associação de Catadores do Alto da Serra",-22.4650529,-43.4654594,cooperativa
2830,"SCHULZE & CIA LTDA",-27.1956291,-49.6143917,comercio
2831,"UTC de Coimbra ",-20.8575218,-42.7981598,triagem
2832,type,-29.7866238,-57.0642313,associacao
2833,type,-23.4773602,-47.4517089,comercio
2834,type,-22.9641886,-49.8679302,comercio
2835,type,-22.9919333,-47.0445182,comercio
2836,type,-23.2841798,-45.9692211,comercio
2837,"PEV - SUPERCENTER UBERABA",-19.7628628,-47.9501482,pev
2838,"PEV Simão Pereira",-21.9619592,-43.3166428,pev
2839,type,-20.2209135,-40.2533268,comercio
2840,"Depósito do Matozão ",-15.62191266,-56.04709625,comercio
2841,type,-21.6965801,-41.3081178,pev
2842,"Ferro Velho do Rafael",-23.3734867,-46.7059974,comercio
2843,"Reciclagem ERV (BAHIA)",-25.54320814,-48.56742382,comercio
2844,type,-3.0594443,-59.9469874,cooperativa
2845,type,-19.4055135,-40.0555945,cooperativa
2846,"ACOBRAZ - Assoc. Catadores recicladores de res Sólidos Brazlândia",-15.6728973,-48.141631,cooperativa
2847,"E.M. SÃO FRANCISCO DE ASSIS",-22.8460286,-42.2362583,pev
2848,type,-22.2776432,-48.1238594,comercio
2849,"Ferro Velho Boiadeiro",-23.80919187,-52.24962986,comercio
2850,"ARL 6 - Associação de Recicladores da Linha 6",-28.37860193,-53.8865387,associacao
2851,type,-23.639205,-46.652794,pev
2852,"Cooperfran - Coop. de Cat. de Mat. Recicláveis de Franca e Região",-20.5393081,-47.4168212,cooperativa
2853,"COOMAREA - Cooperativa de Catadores de Materiais Recicláveis dos  Caetes ",-1.06822119,-46.77266121,cooperativa
2854,type,-22.9202008,-43.2270905,pev
2855,type,-20.3382671,-40.3027713,comercio
2856,"Associação Reciclar para Construir",-21.5560113,-45.7395384,cooperativa
2857,type,-2.9806405,-60.009727,cooperativa
2858,"Pastoral do Menor de Franca",-20.54498747,-47.46591568,cooperativa
2859,"RECICLAGEM GUMS",-20.00129781,-40.741961,comercio
2860,ZIMERPLAS,-18.7235865,-39.8610291,comercio
2861,Robson,-21.2529907,-44.933759,comercio
2862,type,-29.7181007,-51.1369919,comercio
2863,Dourados,-22.2300464,-54.8300266,pev
2864,"Reciclagem Santo Expedito",-23.0156765,-48.002543,comercio
2865,"ACREJ II - Associação Ecológica dos Catadores Recicladores de Joinville II",-26.24923706,-48.80038977,cooperativa
2866,type,-3.7861941,-38.5454137,cooperativa
2867,type,-19.5376065,-40.7871631,pev
2868,"Recicla L.L.T.",-22.4044451,-43.6632867,comercio
2869,type,-23.2533446,-45.9189616,comercio
2870,"Chácara Beira do Rio",-15.9368883,-48.212807,comercio
2871,"COOPERE-ET - Cooperativa de Recicláveis",-21.5416909,-45.4492181,cooperativa
2872,Paulo,-29.9340029,-51.0317576,comercio
2873,type,-9.6015731,-35.6800668,cooperativa
2874,type,-23.3238005,-51.1296123,pev
2875,"LOUBER LTDA",-28.4255151,-48.8541193,comercio
2876,type,-18.89808508,-41.94562912,cooperativa
2877,"Trevo Ambiental",-25.4305381,-48.7172767,comercio
2878,"Associação Reciclar para o Futuro",-23.541716,-49.2357508,cooperativa
2879,"E.E. Municipalizada Alberto Torres",-22.9550786,-43.5834535,pev
2880,"Marcelo da Silva Pinto",-23.3311826,-46.5925521,pev
2881,"PEV - NACIONAL VIAMÃO-A.VESPÚCIO",-30.0829334,-51.0301439,pev
2882,type,-26.3435034,-48.8103016,comercio
2883,"Reciclagem do Neno",-22.0076839,-51.5557913,comercio
2884,"ASCARVERDE Associação de Catadores de Verdelândia",-15.5894537,-43.6048434,cooperativa
2885,type,-22.8282799,-43.3169972,pev
2886,type,-23.7551,-53.315834,comercio
2887,type,-21.1386035,-51.0993911,comercio
2888,"Cooper Rio Oeste",-22.9325925,-43.5748012,cooperativa
2889,type,-22.8088445,-43.3790268,cooperativa
2890,type,-25.0909399,-50.1437587,pev
2891,type,-27.5777415,-48.512049,cooperativa
2892,type,-22.9505728,-47.0747682,comercio
2893,"Usina de TRiagem e Compostagem de Presidente olegário",-18.4156149,-46.4214886,cooperativa
2894,"RT Empreendimentos e Serviços Ltda",-19.5335271,-40.6739802,comercio
2895,"Associação dos catadores de materiais reciclaveis de Araucária",-25.58795162,-49.37979702,cooperativa
2896,type,-21.2036881,-47.7682702,pev
2897,type,-2.5084426,-44.3022763,pev
2898,type,-22.8576654,-43.4728307,cooperativa
2899,type,-27.5083701,-48.6386359,comercio
2900,"Reciclagem Central",-23.4418333,-45.0812136,comercio
2901,"CALMA - Associação pela Limpeza",-3.0748769,-60.0247897,associacao
2902,"RECICLAGEM JOÃO BATISTA",-20.8352426,-40.7282599,comercio
2903,"CIAH - Centro Integrado de Atendimento Humano",-22.66108625,-43.03984165,pev
2904,"Destinadora de Resíduos Nascimento Ltda ",-19.6201095,-44.0437678,comercio
2905,"BOM JESUS - Associação dos Catadores e Recicladores Senhor Bom Jesus",-19.6884671,-43.921335,cooperativa
2906,"Depósito do Leidimar",-21.6585344,-42.3443226,comercio
2907,"ACLAN - Associação de Catadores Amigos da Natureza",-29.76923514,-57.03638077,associacao
2908,"PEV - Posto Jardim Itatiaia ",-22.4852785,-44.54625607,pev
2909,"Associação Natureza Viva",-17.7359305,-46.1830093,cooperativa
2910,type,-22.2408356,-50.8849588,comercio
2911,"Grupo Novo Milenio de Iracemápolis",-22.5812683,-47.5198172,cooperativa
2912,type,-22.8539785,-47.043554,pev
2913,"Usina de Triagem de Promissão",-21.5365132,-49.8595697,triagem
2914,type,-16.3957014,-49.22497272,pev
2915,ASCARE,-18.748765,-44.431732,cooperativa
2916,"COOPERSOL - Cooperativa de Recicladores de Lins",-21.6355188,-49.7505053,cooperativa
2917,"Plastpel - Reciclagem Industrial Ltda.",-23.6982466,-46.4611246,comercio
2918,"Aterro Sanitário de Tramandaí",-29.98471041,-50.19859314,triagem
2919,type,-25.4789689,-48.8316727,comercio
2920,"ASCAM Associação São Gonçalense de Catadores de Material Reciclavel",-19.9813302,-44.8517746,cooperativa
2921,"Ircicle Reciclagem Santo Expedito Comércio de Sucata em Geral",-21.707611,-47.2645121,comercio
2922,"Fac - Fraterno Auxilio Cristão",-20.7054444,-47.901593,pev
2923,"RECUPERLIXO - Associação de Catadores de Materiais Recicláveis do Município da Serra",-20.2118698,-40.2774336,cooperativa
2924,"RECICLAGEM SOS VIDA",-21.93795023,-42.79586792,comercio
2925,"Cooperativa de Catadores de Materiais Recicláveis Jacareí Recicla",-23.3055363,-45.9669556,cooperativa
2926,"Associação de Catadores de Campina do Monte Alegre",-23.585738,-48.4850363,cooperativa
2927,SAMAE,-26.7423635,-49.1772541,comercio
2928,"Escola Municipal Waldivino José Freire",-21.014936,-45.181124,pev
2929,"ASSEPAR - Associação de Separados de Paranaguá",-25.54207027,-48.56544399,cooperativa
2930,type,-25.4270496,-49.2635449,pev
2931,type,-26.8966086,-48.7029064,comercio
2932,type,-25.3937766,-49.228456,pev
2933,type,-22.841871,-47.159918,cooperativa
2934,type,-22.889613,-43.113733,cooperativa
2935,type,-15.9026063,-48.05510044,cooperativa
2936,type,-23.8074915,-46.05218,cooperativa
2937,type,-24.9419755,-53.4620624,cooperativa
2938,type,-16.44073639,-54.62265015,pev
2939,type,-24.7606048,-51.7631116,comercio
2940,Teresina,-5.0600672,-42.7686108,pev
2941,"Cooperunião",-23.0841016,-48.3771638,cooperativa
2942,ARAFlores,-28.97527994,-51.2481308,cooperativa
2943,"Associação Engenho do Lixo",-7.2021911,-39.3110565,cooperativa
2944,"Reciclagem Pongaí",-21.7343432,-49.3631871,comercio
2945,"COOCIMA - Cooperativa Cidadania e Meio Ambiente",-26.77339187,-51.03385448,cooperativa
2946,"RECICLAGEM SÃO JORGE",-23.06855834,-45.56553841,comercio
